"","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","case","death"
"346","2021-01-25",-43,-19,-13,-64,-40,16,5651,146
"347","2021-01-26",-47,-22,-16,-64,-41,17,5323,119
"348","2021-01-27",-43,-16,-13,-62,-40,17,4630,144
"349","2021-01-28",-42,-16,-18,-63,-39,17,4011,163
"350","2021-01-29",-43,-16,-22,-63,-39,18,4204,130
"351","2021-01-30",-41,-11,2,-60,-18,12,4877,128
"352","2021-01-31",-42,-17,6,-62,-21,9,4690,135
"353","2021-02-01",-40,-14,-14,-63,-39,16,4663,140
"354","2021-02-02",-44,-18,-18,-64,-41,17,4397,89
"355","2021-02-03",-42,-16,-2,-62,-39,17,3736,103
"356","2021-02-04",-40,-13,1,-62,-38,16,2828,63
"357","2021-02-05",-45,-18,-22,-63,-38,18,3234,151
"358","2021-02-06",-43,-13,-4,-60,-18,12,4083,156
"359","2021-02-07",-44,-16,11,-62,-20,10,4022,95
"360","2021-02-08",-40,-20,-19,-64,-40,16,3729,91
"361","2021-02-09",-38,-14,-14,-62,-38,16,3668,62
"362","2021-02-10",-38,-13,-21,-62,-37,16,2967,67
"363","2021-02-11",-36,-10,-20,-62,-37,16,2677,73
"364","2021-02-12",-37,-10,-29,-62,-38,18,3185,93
"365","2021-02-13",-37,-4,-19,-58,-19,12,3181,83
"366","2021-02-14",-29,-3,26,-57,-18,8,3143,73
"367","2021-02-15",-49,-30,8,-72,-67,22,3499,76
"368","2021-02-16",-41,-16,-24,-62,-43,18,2862,68
"369","2021-02-17",-32,-6,-8,-58,-35,15,2522,36
"370","2021-02-18",-32,-9,-14,-59,-35,15,2387,50
"371","2021-02-19",-33,-9,-14,-59,-34,16,2605,34
"372","2021-02-20",-30,-5,23,-54,-13,10,3314,65
"373","2021-02-21",-29,-8,42,-55,-15,7,3091,77
"374","2021-02-22",-34,-15,-10,-61,-36,15,3219,53
"375","2021-02-23",-32,-8,-6,-60,-35,14,2825,42
"376","2021-02-24",-31,-9,-5,-59,-34,14,2878,48
"377","2021-02-25",-30,-7,-3,-59,-34,15,2790,38
"378","2021-02-26",-29,-5,-3,-58,-33,15,2896,43
"379","2021-02-27",-29,-6,9,-53,-12,9,3134,59
"380","2021-02-28",-27,-8,23,-54,-14,7,3219,48
"381","2021-03-01",-30,-11,-9,-60,-38,14,3295,44
"382","2021-03-02",-31,-9,-7,-60,-38,15,2852,34
"383","2021-03-03",-28,-6,15,-57,-37,14,2596,26
"384","2021-03-04",-28,-6,-2,-59,-37,15,2457,28
"385","2021-03-05",-30,-8,-8,-58,-36,16,2812,54
"386","2021-03-06",-27,-4,13,-52,-12,9,2832,45
"387","2021-03-07",-25,-7,40,-53,-13,7,3363,41
"388","2021-03-08",-26,-9,13,-58,-35,13,2876,25
"389","2021-03-09",-26,-6,20,-57,-34,13,3025,31
"390","2021-03-10",-25,-6,23,-55,-33,13,3037,27
"391","2021-03-11",-24,-5,15,-56,-33,14,2820,29
"392","2021-03-12",-25,-6,7,-55,-32,14,3223,29
"393","2021-03-13",-20,-1,38,-47,-10,8,3022,34
"394","2021-03-14",-23,-8,12,-53,-13,7,3459,32
"395","2021-03-15",-25,-9,8,-57,-35,13,3539,33
"396","2021-03-16",-25,-4,14,-57,-34,13,3445,32
"397","2021-03-17",-22,-4,33,-54,-33,13,2846,24
"398","2021-03-18",-23,-4,6,-55,-33,14,2819,22
"399","2021-03-19",-23,-3,7,-54,-33,14,3384,36
"400","2021-03-20",-18,1,62,-44,-8,7,3599,33
"401","2021-03-21",-15,-2,85,-46,-10,5,4214,25
"402","2021-03-22",-20,-4,56,-54,-34,12,4010,26
"403","2021-03-23",-21,-2,47,-54,-33,12,3866,33
"404","2021-03-24",-23,-4,11,-55,-34,13,3775,40
"405","2021-03-25",-19,0,55,-53,-33,13,3606,18
"406","2021-03-26",-26,-7,-10,-56,-33,15,4041,24
"407","2021-03-27",-20,1,22,-47,-9,8,5200,31
"408","2021-03-28",-23,-7,-13,-54,-13,8,5095,35
"409","2021-03-29",-23,-5,16,-56,-35,13,5364,29
"410","2021-03-30",-20,1,53,-54,-34,12,5126,27
"411","2021-03-31",-17,5,18,-53,-34,12,4574,15
"412","2021-04-01",-6,22,13,-52,-34,11,4878,26
"413","2021-04-02",-40,-17,53,-66,-70,23,5513,32
"414","2021-04-03",-22,14,42,-50,-17,8,5805,42
"415","2021-04-04",-45,-36,116,-53,-23,6,6921,28
"416","2021-04-05",-21,0,82,-60,-54,16,6822,18
"417","2021-04-06",-24,1,55,-55,-35,13,6448,24
"418","2021-04-07",-20,2,48,-54,-35,13,6267,41
"419","2021-04-08",-27,-3,70,-55,-35,14,6520,22
"420","2021-04-09",-31,-5,42,-56,-34,15,7146,30
"421","2021-04-10",-28,-2,93,-49,-13,8,7995,37
"422","2021-04-11",-29,-6,63,-53,-17,8,9243,37
"423","2021-04-12",-30,-6,23,-58,-37,14,8542,45
"424","2021-04-13",-29,-1,65,-57,-37,14,8656,31
"425","2021-04-14",-28,-1,65,-55,-37,14,8539,27
"426","2021-04-15",-28,-2,27,-57,-36,15,7542,35
"427","2021-04-16",-31,-4,21,-57,-36,15,8598,53
"428","2021-04-17",-31,-3,59,-52,-14,9,9570,53
"429","2021-04-18",-30,-6,73,-53,-16,8,9341,41
"430","2021-04-19",-31,-8,45,-59,-38,14,8867,50
"431","2021-04-20",-28,1,28,-57,-37,14,8524,31
"432","2021-04-21",-31,-5,15,-58,-38,15,8311,45
"433","2021-04-22",-30,-3,14,-58,-37,16,7275,44
"434","2021-04-23",-30,-2,42,-57,-36,15,8419,54
"435","2021-04-24",-28,0,78,-50,-13,9,8381,54
"436","2021-04-25",-29,-4,37,-55,-16,8,8738,55
"437","2021-04-26",-28,-4,42,-58,-37,14,8305,57
"438","2021-04-27",-28,-1,60,-57,-37,14,7829,43
"439","2021-04-28",-28,-1,31,-56,-37,14,7203,38
"440","2021-04-29",-26,1,38,-56,-37,14,7069,45
"441","2021-04-30",-29,0,9,-57,-36,15,7749,49
"442","2021-05-01",-25,5,80,-47,-13,8,8343,57
"443","2021-05-02",-24,0,99,-50,-16,7,8340,50
"444","2021-05-03",-27,-2,23,-57,-38,13,8450,40
"445","2021-05-04",-27,2,42,-57,-38,14,7828,37
"446","2021-05-05",-27,1,35,-56,-37,14,7565,38
"447","2021-05-06",-24,4,66,-55,-37,13,6688,54
"448","2021-05-07",-27,3,51,-56,-36,14,7390,56
"449","2021-05-08",-23,13,65,-50,-13,8,8001,37
"450","2021-05-09",-15,11,110,-48,-12,5,7826,41
"451","2021-05-10",-26,-2,68,-56,-38,13,7398,50
"452","2021-05-11",-26,2,49,-57,-37,14,7297,62
"453","2021-05-12",-23,6,80,-54,-37,13,6338,40
"454","2021-05-13",-20,7,115,-53,-37,13,5382,31
